,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,229.99496150016785,82.48875032242951,1.505599045753479,0.9607564937110387,43,10,"{'pca__n_components': 43, 'randomforestclassifier__n_estimators': 10}",0.7151898734177216,0.7025316455696202,0.7145877378435518,0.7315010570824524,0.7040169133192389,0.718816067653277,0.7780126849894292,0.7484143763213531,0.7610993657505285,0.7209302325581395,0.7295099954505311,0.02388551829034512,20
1,166.68310284614563,57.87783640590001,1.7125287055969238,0.5009724876894054,43,50,"{'pca__n_components': 43, 'randomforestclassifier__n_estimators': 50}",0.7848101265822784,0.7974683544303798,0.7399577167019028,0.7885835095137421,0.7843551797040169,0.773784355179704,0.8224101479915433,0.7991543340380549,0.7801268498942917,0.7864693446088795,0.7857119918644794,0.019859639491688088,12
2,157.44206321239471,55.80377646579583,2.2763158559799193,1.0852477777055831,43,100,"{'pca__n_components': 43, 'randomforestclassifier__n_estimators': 100}",0.7827004219409283,0.7974683544303798,0.7547568710359408,0.8118393234672304,0.7991543340380549,0.7843551797040169,0.8224101479915433,0.7928118393234672,0.7928118393234672,0.7906976744186046,0.7929005985673634,0.017106556570439076,9
3,101.80165195465088,28.873437588800723,1.5347665786743163,1.0410982027278546,43,500,"{'pca__n_components': 43, 'randomforestclassifier__n_estimators': 500}",0.8270042194092827,0.8016877637130801,0.7695560253699789,0.8224101479915433,0.8076109936575053,0.7695560253699789,0.8372093023255814,0.813953488372093,0.8012684989429175,0.8160676532769556,0.8066324118428918,0.021319032042815798,3
4,132.56266503334047,30.520925378094194,2.0220033168792724,1.3146747803199046,43,1000,"{'pca__n_components': 43, 'randomforestclassifier__n_estimators': 1000}",0.8227848101265823,0.8037974683544303,0.7632135306553911,0.8202959830866807,0.7991543340380549,0.7716701902748414,0.8329809725158562,0.813953488372093,0.8097251585623678,0.8118393234672304,0.8049415259453528,0.020916593300697006,4
5,137.43953325748444,53.85530749899256,1.6217456340789795,0.7497271509412624,76,10,"{'pca__n_components': 76, 'randomforestclassifier__n_estimators': 10}",0.7025316455696202,0.7109704641350211,0.693446088794926,0.7315010570824524,0.6997885835095138,0.7547568710359408,0.733615221987315,0.718816067653277,0.7167019027484144,0.7272727272727273,0.7189400629789208,0.017549681443397597,22
6,178.15392036437987,55.453007601853194,1.9904197454452515,1.0573377342928587,76,50,"{'pca__n_components': 76, 'randomforestclassifier__n_estimators': 50}",0.7658227848101266,0.7932489451476793,0.7526427061310782,0.8033826638477801,0.7801268498942917,0.7843551797040169,0.8033826638477801,0.7695560253699789,0.7758985200845666,0.7970401691331924,0.7825456507970491,0.01609003993821996,13
7,155.44182431697845,45.78370880025179,1.902417206764221,0.9006224166108374,76,100,"{'pca__n_components': 76, 'randomforestclassifier__n_estimators': 100}",0.7827004219409283,0.79957805907173,0.7547568710359408,0.8076109936575053,0.7885835095137421,0.7864693446088795,0.8118393234672304,0.7843551797040169,0.7822410147991543,0.7906976744186046,0.7888832392217733,0.01506239478056615,10
8,155.20111796855926,42.32437612182014,1.9782527208328247,1.2037808795400962,76,500,"{'pca__n_components': 76, 'randomforestclassifier__n_estimators': 500}",0.810126582278481,0.8080168776371308,0.7610993657505285,0.8181818181818182,0.813953488372093,0.7991543340380549,0.8202959830866807,0.8033826638477801,0.7949260042283298,0.7970401691331924,0.8026177286554089,0.016110310936317162,6
9,119.30069043636323,12.470475777623243,1.732597327232361,1.0522725883207302,76,1000,"{'pca__n_components': 76, 'randomforestclassifier__n_estimators': 1000}",0.8164556962025317,0.8037974683544303,0.7653276955602537,0.8160676532769556,0.813953488372093,0.7949260042283298,0.8350951374207188,0.8076109936575053,0.8054968287526427,0.8097251585623678,0.8068456124387827,0.017063879351007793,2
10,188.79158732891082,67.14671298194563,2.0159284591674806,0.5574504204023772,141,10,"{'pca__n_components': 141, 'randomforestclassifier__n_estimators': 10}",0.7194092827004219,0.7067510548523207,0.6723044397463002,0.7019027484143763,0.7061310782241015,0.7082452431289641,0.7019027484143763,0.6976744186046512,0.7251585623678647,0.693446088794926,0.7032925665248302,0.013693288538392296,23
11,222.55916967391968,44.68424604255722,2.743384265899658,1.057985596002572,141,50,"{'pca__n_components': 141, 'randomforestclassifier__n_estimators': 50}",0.8016877637130801,0.7784810126582279,0.7420718816067653,0.773784355179704,0.7716701902748414,0.7420718816067653,0.7949260042283298,0.7568710359408034,0.7970401691331924,0.7399577167019028,0.7698562011043613,0.022539499892073298,15
12,211.27244620323182,57.8829085807179,2.382526326179504,0.6982275699366831,141,100,"{'pca__n_components': 141, 'randomforestclassifier__n_estimators': 100}",0.8270042194092827,0.7742616033755274,0.7632135306553911,0.7610993657505285,0.7991543340380549,0.7526427061310782,0.8012684989429175,0.8054968287526427,0.8076109936575053,0.7906976744186046,0.7882449755131533,0.02301326514595492,11
13,190.77620460987092,63.54127157086754,1.734902596473694,0.7310164376530113,141,500,"{'pca__n_components': 141, 'randomforestclassifier__n_estimators': 500}",0.8122362869198312,0.7932489451476793,0.7758985200845666,0.7970401691331924,0.8202959830866807,0.7822410147991543,0.8266384778012685,0.7991543340380549,0.828752642706131,0.8076109936575053,0.8043117367374064,0.01709183570450579,5
14,231.3469577074051,30.537465149911025,2.163323187828064,1.1278176975382803,141,1000,"{'pca__n_components': 141, 'randomforestclassifier__n_estimators': 1000}",0.8291139240506329,0.7932489451476793,0.7653276955602537,0.813953488372093,0.8224101479915433,0.7843551797040169,0.8372093023255814,0.8054968287526427,0.8181818181818182,0.8181818181818182,0.8087479148268081,0.020851103509812258,1
15,255.46428773403167,16.487718966597804,2.3496646881103516,0.821518889024848,277,10,"{'pca__n_components': 277, 'randomforestclassifier__n_estimators': 10}",0.7025316455696202,0.6540084388185654,0.6617336152219874,0.6828752642706131,0.678646934460888,0.6659619450317125,0.6553911205073996,0.6701902748414377,0.6723044397463002,0.6955602536997886,0.6739203932168313,0.015354532392299575,24
16,300.0311194419861,32.601199126118836,2.796004557609558,0.7832675508298165,277,50,"{'pca__n_components': 277, 'randomforestclassifier__n_estimators': 50}",0.770042194092827,0.7679324894514767,0.7758985200845666,0.7568710359408034,0.758985200845666,0.7505285412262156,0.7526427061310782,0.7695560253699789,0.7463002114164905,0.758985200845666,0.760774212540477,0.009193634344531975,18
17,292.69504778385163,14.725691610396357,2.984233832359314,0.8189257154114726,277,100,"{'pca__n_components': 277, 'randomforestclassifier__n_estimators': 100}",0.7911392405063291,0.7805907172995781,0.773784355179704,0.7801268498942917,0.7695560253699789,0.7906976744186046,0.7716701902748414,0.7885835095137421,0.7653276955602537,0.7970401691331924,0.7808516427150517,0.010139290387408064,14
18,287.5651825428009,48.41810503923312,2.559030818939209,1.201448198019647,277,500,"{'pca__n_components': 277, 'randomforestclassifier__n_estimators': 500}",0.8016877637130801,0.8143459915611815,0.7801268498942917,0.7949260042283298,0.8033826638477801,0.8012684989429175,0.8202959830866807,0.7843551797040169,0.8033826638477801,0.7928118393234672,0.7996583438149526,0.011666306885189656,8
19,285.201979470253,67.22499483398192,2.1705222129821777,1.4661680080769433,277,1000,"{'pca__n_components': 277, 'randomforestclassifier__n_estimators': 1000}",0.79957805907173,0.8122362869198312,0.7885835095137421,0.8097251585623678,0.8097251585623678,0.7991543340380549,0.813953488372093,0.7864693446088795,0.7906976744186046,0.7949260042283298,0.8005049018296001,0.009785813633015143,7
20,226.36977710723878,5.5303169925756075,3.1836008071899413,0.6264455345981342,580,10,"{'pca__n_components': 580, 'randomforestclassifier__n_estimators': 10}",0.6497890295358649,0.6350210970464135,0.653276955602537,0.6596194503171248,0.6744186046511628,0.6511627906976745,0.6511627906976745,0.7019027484143763,0.6680761099365751,0.6152219873150105,0.6559651564214413,0.021911131920960076,25
21,229.60269594192505,8.419353107476804,2.864609932899475,0.8925168271198259,580,50,"{'pca__n_components': 580, 'randomforestclassifier__n_estimators': 50}",0.7341772151898734,0.7257383966244726,0.6955602536997886,0.7103594080338267,0.7463002114164905,0.7209302325581395,0.7230443974630021,0.7145877378435518,0.7209302325581395,0.7040169133192389,0.7195644998706523,0.01381926198678563,21
22,228.85798380374908,14.143077898846983,3.380666637420654,0.79302320581483,580,100,"{'pca__n_components': 580, 'randomforestclassifier__n_estimators': 100}",0.7489451476793249,0.7552742616033755,0.7251585623678647,0.7547568710359408,0.7399577167019028,0.7547568710359408,0.7441860465116279,0.7547568710359408,0.7420718816067653,0.7251585623678647,0.7445022791946548,0.011073677311650447,19
23,263.3713096380234,30.780970835616216,2.6023882389068604,1.7383693512951097,580,500,"{'pca__n_components': 580, 'randomforestclassifier__n_estimators': 500}",0.7869198312236287,0.7932489451476793,0.7505285412262156,0.7758985200845666,0.7484143763213531,0.7547568710359408,0.758985200845666,0.7568710359408034,0.7695560253699789,0.7505285412262156,0.7645707888422049,0.015222626236179515,17
24,264.96466636657715,74.63607367596367,0.927025318145752,0.3243418583855362,580,1000,"{'pca__n_components': 580, 'randomforestclassifier__n_estimators': 1000}",0.7679324894514767,0.7869198312236287,0.7484143763213531,0.7716701902748414,0.758985200845666,0.7568710359408034,0.7758985200845666,0.7653276955602537,0.7695560253699789,0.758985200845666,0.7660560565918234,0.010371009869399424,16
